session_id	dissociated_cell_sample_nhash_id	dissociated_cell_sample_local_name	tissue_sample_brain_structure_id_homba	tissue_sample_brain_structure_name_homba	tissue_sample_brain_structure_id_ccf	tissue_sample_brain_structure_name_ccf	library_aliquot_nhash_id	barcoded_cell_sample_nhash_id	donor_local_id	dandi_file_url	nimp_resource_visualizer_url	nemo_portal_url	nemo_assets_url
ses-1388908077	DC-HSRWSZ261785	Dbh-Cre-KI;Ai65-751032.10.06.01	HOMBA:12499	nucleus coeruleus (locus coeruleus)	MBA:147	Locus ceruleus	LA-FDEIHL353732BGYACA494908	BC-LQMTWA681818	751032	https://api.dandiarchive.org/api/assets/2c0a5800-2464-41eb-bdac-f3601d215e35/download/	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=5&nhash_id=DC-HSRWSZ261785	https://portal.nemoarchive.org/cases/nemo:lib-ijyyvtg 	https://assets.nemoarchive.org/sample/nemo:lib-ijyyvtg 
ses-1388916109	DC-FSHSRQ555671	Dbh-Cre-KI;Ai65-751032.10.06.02	HOMBA:12499	nucleus coeruleus (locus coeruleus)	MBA:147	Locus ceruleus			751032	https://api.dandiarchive.org/api/assets/71bd55b6-4e50-4273-9880-9b68b4230061/download/	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=5&nhash_id=DC-FSHSRQ555671		
ses-1390679794	DC-BZUZBX296238	Dbh-Cre-KI;Ai65-751022.11.06.01	HOMBA:12499	nucleus coeruleus (locus coeruleus)	MBA:147	Locus ceruleus	LA-IQUQUT421575BGYACA494908	BC-QLQSOT250631	751022	https://api.dandiarchive.org/api/assets/40173cfd-26b4-4465-9182-0e6947bf3223/download/	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=5&nhash_id=DC-BZUZBX296238	https://portal.nemoarchive.org/cases/nemo:lib-zguhuk6 	https://assets.nemoarchive.org/sample/nemo:lib-zguhuk6 
ses-1394143501	DC-FWZBYU681687	Dbh-Cre-KI;Ai65-752560.09.06.01	HOMBA:12499	nucleus coeruleus (locus coeruleus)	MBA:147	Locus ceruleus	LA-DQCEXE296789FDWQTT597105	BC-PBDWBD171283	752560	https://api.dandiarchive.org/api/assets/eb73bb9c-0150-496d-b2b2-d8a12e247876/download/	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=5&nhash_id=DC-FWZBYU681687	https://portal.nemoarchive.org/cases/nemo:lib-13pekfz 	https://assets.nemoarchive.org/sample/nemo:lib-13pekfz 
ses-1394161703	DC-WSRZYK695959	Dbh-Cre-KI;Ai65-752560.09.06.03	HOMBA:12499	nucleus coeruleus (locus coeruleus)	MBA:147	Locus ceruleus	LA-TRNRBD851988FDWQTT597105	BC-AWAWAU377771	752560	https://api.dandiarchive.org/api/assets/cbc1dbe7-0a95-4e71-a25c-090b73ff2834/download/	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=5&nhash_id=DC-WSRZYK695959	https://portal.nemoarchive.org/cases/nemo:lib-vt2f4zh 	https://assets.nemoarchive.org/sample/nemo:lib-vt2f4zh 
ses-1402045715	DC-JOHPMA411691	Dbh-Cre-KI;Ai65-763842.10.06.01	HOMBA:12499	nucleus coeruleus (locus coeruleus)	MBA:147	Locus ceruleus	LA-WSDCZB288490YXWECD301285	BC-RUMONU826291	763842	https://api.dandiarchive.org/api/assets/bd35d255-7678-40fb-a219-3cb6cbbb211e/download/	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=5&nhash_id=DC-JOHPMA411691	https://portal.nemoarchive.org/cases/nemo:lib-8vqj6fh 	https://assets.nemoarchive.org/sample/nemo:lib-8vqj6fh 
ses-1402046885	DC-VSHGNV243529	Dbh-Cre-KI;Ai65-763842.11.06.01	HOMBA:12499	nucleus coeruleus (locus coeruleus)	MBA:147	Locus ceruleus			763842	https://api.dandiarchive.org/api/assets/d7582f7c-acf6-4827-b279-22f09b1a13ad/download/	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=5&nhash_id=DC-VSHGNV243529		
ses-1402049348	DC-FQMING892612	Dbh-Cre-KI;Ai65-763842.10.06.02	HOMBA:12499	nucleus coeruleus (locus coeruleus)	MBA:147	Locus ceruleus			763842	https://api.dandiarchive.org/api/assets/4bc8c401-03ef-4da8-8c06-18e1cb4407d6/download/	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=5&nhash_id=DC-FQMING892612		
ses-1402082775	DC-XFGEFE555773	Dbh-Cre-KI;Ai65-763842.11.06.02	HOMBA:12499	nucleus coeruleus (locus coeruleus)	MBA:147	Locus ceruleus	LA-WRIEKE319724YXWECD301285	BC-SSRMUV189503	763842	https://api.dandiarchive.org/api/assets/5c9b8cbc-e697-43f9-b561-0bd651319ae0/download/	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=5&nhash_id=DC-XFGEFE555773	https://portal.nemoarchive.org/cases/nemo:lib-rhfnv75 	https://assets.nemoarchive.org/sample/nemo:lib-rhfnv75 
ses-1403961154	DC-ZCCAVO281263	Dbh-Cre-KI;Ai65-763845.10.06.01	HOMBA:12499	nucleus coeruleus (locus coeruleus)	MBA:147	Locus ceruleus	LA-DGCCCF199578YXWECD301285	BC-PDJCDH482041	763845	https://api.dandiarchive.org/api/assets/8ec98124-1059-4043-ada0-71d2d4d97076/download/	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=5&nhash_id=DC-ZCCAVO281263	https://portal.nemoarchive.org/cases/nemo:lib-wp53qax 	https://assets.nemoarchive.org/sample/nemo:lib-wp53qax 
