participants_id	donor_nhash_id	donor_local_id	species_name	species_ncbi_taxon	sex_at_birth	age_at_death	injection_target_region	injection_target_brain_structure_id_homba	injection_target_brain_structure_name_homba	injection_target_brain_structure_id_ccf	injection_target_brain_structure_name_ccf	nimp_resource_visualizer_uri
sub-1383373036	DO-GOXG4400	751032	Mus musculus	NCBITaxon:10095	Female	P53	Cerebellum	HOMBA:10656	cerebellum	MBA:512	Cerebellum	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=7&nhash_id=DO-GOXG4400
sub-1386749801	DO-TJSE8571	751022	Mus musculus	NCBITaxon:10095	Male	P60	Cerebellum	HOMBA:10656	cerebellum	MBA:512	Cerebellum	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=7&nhash_id=DO-TJSE8571
sub-1386750382	DO-FLCN2939	752560	Mus musculus	NCBITaxon:10095	Female	P74	Cerebellum	HOMBA:10656	cerebellum	MBA:512	Cerebellum	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=7&nhash_id=DO-FLCN2939
sub-1398003091	DO-KSNO9422	763842	Mus musculus	NCBITaxon:10095	Male	P56	Cerebellum	HOMBA:10656	cerebellum	MBA:512	Cerebellum	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=7&nhash_id=DO-KSNO9422
sub-1398791848	DO-KIAB7800	763845	Mus musculus	NCBITaxon:10095	Female	P68	Cerebellum	HOMBA:10656	cerebellum	MBA:512	Cerebellum	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=7&nhash_id=DO-KIAB7800
sub-1420615827	DO-EVID8341	787268	Mus musculus	NCBITaxon:10095	Male	P66	Cerebellum	HOMBA:10656	cerebellum	MBA:512	Cerebellum	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=7&nhash_id=DO-EVID8341
sub-1420615963	DO-JHJJ8820	787271	Mus musculus	NCBITaxon:10095	Male	P67	Cerebellum	HOMBA:10656	cerebellum	MBA:512	Cerebellum	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=7&nhash_id=DO-JHJJ8820
sub-1375555052	DO-OBXZ2128	744122	Mus musculus	NCBITaxon:10095	Male	P52	Cortex	HOMBA:10159	cerebral cortex	MBA:688	Cerebral cortex	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=7&nhash_id=DO-OBXZ2128
sub-1383440053	DO-SBVK1682	751031	Mus musculus	NCBITaxon:10095	Female	P50	Cortex	HOMBA:10159	cerebral cortex	MBA:688	Cerebral cortex	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=7&nhash_id=DO-SBVK1682
sub-1383440043	DO-RQUY9896	751029	Mus musculus	NCBITaxon:10095	Male	P51	Cortex	HOMBA:10159	cerebral cortex	MBA:688	Cerebral cortex	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=7&nhash_id=DO-RQUY9896
sub-1404100099	DO-OIKL8509	771648	Mus musculus	NCBITaxon:10095	Female	P54	Cortex	HOMBA:10159	cerebral cortex	MBA:688	Cerebral cortex	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=7&nhash_id=DO-OIKL8509
sub-1418766536	DO-JHDH7278	786124	Mus musculus	NCBITaxon:10095	Male	P60	Cortex	HOMBA:10159	cerebral cortex	MBA:688	Cerebral cortex	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=7&nhash_id=DO-JHDH7278
sub-1418765416	DO-NLKL8460	786136	Mus musculus	NCBITaxon:10095	Male	P67	Cortex	HOMBA:10159	cerebral cortex	MBA:688	Cerebral cortex	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=7&nhash_id=DO-NLKL8460
sub-1420617066	DO-SYEY7219	787276	Mus musculus	NCBITaxon:10095	Female	P60	Cortex	HOMBA:10159	cerebral cortex	MBA:688	Cerebral cortex	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=7&nhash_id=DO-SYEY7219
sub-1420617077	DO-NTVQ5261	787272	Mus musculus	NCBITaxon:10095	Male	P60	Cortex	HOMBA:10159	cerebral cortex	MBA:688	Cerebral cortex	https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=7&nhash_id=DO-NTVQ5261
sub-1385791173	DO-RPMB6093	752561	Mus musculus	NCBITaxon:10095	Female	P67	Spinal cord	HOMBA:AA30565	spinal cord			https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=7&nhash_id=DO-RPMB6093
sub-1385785417	DO-CIKF4469	751021	Mus musculus	NCBITaxon:10095	Male	P74	Spinal cord	HOMBA:AA30565	spinal cord			https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=7&nhash_id=DO-CIKF4469
sub-1398919616	DO-ECYN1737	762193	Mus musculus	NCBITaxon:10095	Male	P69	Spinal cord	HOMBA:AA30565	spinal cord			https://brain-specimenportal.org/nimp_analytics/resource_visualization_forward?depth=7&nhash_id=DO-ECYN1737
